Title|Authors|Abstract|PDF
Рынок драгоценных металлов: тенденции и проблемы в современных условиях|Захарова К. А.; Гончаров А. А.|Цель исследования заключается в комплексном анализе основных тенденций, проблем и перспектив развития мирового рынка драгоценных металлов с учетом современных вызовов макроэкономической и геополитической обстановке в мире.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35119/1/FEI_GoncharovAA_2024.pdf
Комментарии к циклу А. Еременко «Невенок сонетов» для сербских читателей|Обласова Т. В.; Марчуков И. А.|Цель исследования – выявление художественной роли трансформированных фразеологизмов, терминов, техницизмов, составление комментария к ним и определение возможностей применения материалов исследования на занятиях по РКИ в качестве учебного материала.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35140/1/ISiGN_MarchukovIA_2024.pdf
Источники формирования финансовых ресурсов хозяйствующего субъекта|Лазутина Д. В.; Чашникова Е. А.|Цель данной работы – проанализировать порядок формирования финансовых ресурсов организации и выявить направления повышения эффективности формирования финансовых ресурсов ООО «Технологической компании Шлюмберже».|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35111/1/FEI_ChashnikovaEA_2024.pdf
Финансирование инновационной деятельности: источники и механизмы|Лазутина Д. В.; Каширин М. А.|Цель работы: проанализировать источники и применяемые механизмы финансирования инноваций в Российской Федерации для выявления проблем действующего подхода и формирования предложений по его совершенствованию.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35123/1/FEI_KashirinMA_2024.pdf
Оценка эффективности поставок российской молочной продукции на рынок КНР|Захарова К. А.; Сиратюк Е. И.|Целью выпускной квалифицированной работы является разработка рекомендаций по наращиванию присутствия и повышения конкурентоспособности на рынке российской молочной продукции на рынке КНР.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35113/1/FEI_SiratyukEI_2024.pdf
Лексико-семантическая интерференция при переводе специализированных текстов|Апакина Л. В.; Ткачева Е. К.|Цель данной работы – выявление причин ошибок, возникающих при лексико-семантической интерференции и поиск путей их преодоления.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35141/1/ISiGN_TkachevaEK_2024.pdf
Финансовое обеспечение рационального природопользования и охраны окружающей среды|Гамукин В. В.; Пасечник А. В.|Цель исследования – формирование целостного представления о системе финансирования в области экологической политики и охраны окружающей среды.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35125/1/FEI_PasechnikAV_2024.pdf
Финансовые кризисы: исследование причин и путей выхода|Захарова К. А.; Полунина М. М.|Целью данной работы является выявление последствий влияния мировых финансовых кризисов на экономики стран и разработка путей выхода из финансового кризиса и механизмов преодоления их последствий.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35129/1/FEI_PoluninaMM_2024.pdf
Организация финансирования геологоразведочных работ в России|Толстолесова Л. А.; Андросов И. А.|Цель работы заключается в оценке организации финансирования геологоразведочных работ, выявлении основных проблем и возможностей совершенствования существующей системы их финансирования.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35147/1/FEI_AndrosovIA_2024.pdf
Дистанционное банковское обслуживание юридических лиц|Мирошниченко О. С.; Ахмадеев Д. Р.|Цель выпускной квалификационной работы – обобщение теоретических положений и разработка практических рекомендаций по результатам анализа дистанционного банковского обслуживания юридических лиц.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35106/1/FEI_AkhmadeevDR_2024.pdf
Имплицитное отрицание на занятиях по русскому как иностранному|Полухина Я. П.; Морозова Е. В.|Целью диссертационной работы является изучение и анализ конструкций с имплицитным отрицанием, а также создание комплекса упражнений на отработку навыков их понимания и употребления.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35137/1/ISiGN_MorozovaEV_2024.pdf
Формирование у иностранных студентов навыков коммуникативного контроля в процессе изучения русского языка|Поморцева Н. В.; Абраменкова Е. С.|Цель исследования: описать особенности формирования навыков коммуникативного контроля у иностранных студентов в процессе изучения русского языка, предложить методические рекомендации по корректировочно-развивающей работе.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35131/1/ISiGN_AbramenkovaES_2024.pdf
Фразеологизмы со значением пространства и времени в курсе русского языка как иностранного|Шарафутдинова О. И.; Резанова Т. С.|Цель данного исследования заключается в разработке комплекса упражнений, предназначенных для изучения фразеологизмов со значением пространства и времени, учитывающих основные принципы и методы обучения русскому языку как иностранному и специфику данной группы фразеологических единиц.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35139/1/ISiGN_RezanovaTS_2024.pdf
Развитие навыков контекстуальной семантизации многозначного слова в практике обучения русскому языку как иностранному|Драчева С. О.; Лигус З. И.|Целью исследования является разработка методики, ориентированной на развитие у иностранных учащихся навыков контекстуальной семантизации многозначного слова.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/35133/1/ISiGN_LigusZI_2024.pdf
