Title|Authors|Abstract|PDF
Экономическая безопасность субъектов малого и среднего бизнеса под влиянием современных вызовов и угроз|Карпова Е. Н.; Катунина Е. С.|Малый и средний бизнес играют важную роль в экономике страны, и особенно ярко их значимость проявляется в кризисные периоды, количество которых в последнее время заметно увеличилось. Необходимость прогрессивных изменений в данном секторе в России сейчас, как никогда, актуальна, поскольку отсутствие надежного, самостоятельного внутреннего «ресурса» в современных условиях ставит под угрозу не только дальнейшее развитие, но и независимость государства. Таким образом, представляется интересным рассмотрение и учет особенностей отечественного предпринимательства под влиянием дестабилизирующих факторов, а также разработка на основе полученных сведений предложений, способствующих повышению эффективности функционирования малого и среднего бизнеса как в настоящем, так и в будущем периодах.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32012/1/ebs_2023_94_103.pdf
График документооборота: быть или не быть|Зылёва Н. В.; Синильников В. А.|Статья посвящена вопросу необходимости наличия в составе учетной политике хозяйствующего субъекта графика документооборота, регламентирующего движение документов в организации. После вступления в силу ФСБУ 27/2021 «Документы и документооборот в бухгалтерском учете» имеются разногласия по данному поводу, в связи с чем в статье обоснована польза подобного документа для минимизации рисков экономической безопасности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32059/1/ebs_2023_421_426.pdf
Влияние цифровой трансформации на доверие бизнеса и государства|Акулич М. М.; Цой А.|В статье рассмотрены проблемы цифровой трансформации и цифрового доверия между бизнесом и государством. Описана специфика проводимых государством новаторских реформ в области цифровизации на примере Федеральной налоговой службой и Федеральной службой государственной регистрации, кадастра и картографии на 2022–2023 гг. описывающие процесс взаимодействия бизнеса с государством на новых условиях. Выделены ключевые показатели готовности бизнеса к цифровизации и проблемы, с которыми сталкивался и сталкивается бизнес в процессе перехода на цифровое взаимодействие с государственными органами.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32035/1/ebs_2023_259_264.pdf
Киберпреступления в финансовой сфере: оценка текущей ситуации в России|Тарханова А. В.; Гарипова Р. Р.; Тарханова Е. А.|Финансовый сектор России является объектом повышенного внимания со стороны злоумышленников, так как концентрирует в себе огромные финансовые ресурсы. Киберпреступность является одной из ключевых проблем финансовой сферы. Активное развитие цифровизации финансового рынка способствовало усилению интереса мошенников, которые трансформировались под требования новой цифровой среды. В рамках данной статьи проведена оценка текущей ситуации с киберпреступностью в финансовой сфере России, представлена динамика кибератак на финансовые организации и предложен ряд мер по борьбе с кибермошенниками.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32044/1/ebs_2023_322_326.pdf
Трудовая миграция и ее влияние на экономическую безопасность страны|Сахно Ю. С.; Крехова Ю. А.; Марганова Л. Р.|В данной статье рассматриваются проблемы трудовой миграции, влияние трудовой миграции на экономическую безопасность России и «утечка умов». Также представлены аналитическая сводка ключевых экономических показателей, связанных с обозначением деятельности по миграционной ситуации в России и разрешения на осуществление рабочей деятельности иностранными гражданами или лицами, не имеющими гражданства. В статье рассмотрены причины и возможные варианты решений проблем с оттоком высококвалифицированных специалистов из страны.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32023/1/ebs_2023_185_190.pdf
Анализ существующих мер государственной финансовой поддержки субъектов малого и среднего предпринимательства в РФ|Захарова К. А.; Китаева В. Р.|Непростые экономические условия хозяйствования, а также имеющиеся трудности развития малого и среднего предпринимательства (далее МСП) выявили не эффективность мер государственной поддержки. Таким образом, развитие государственной поддержки МСП становится актуальной проблемой, которую необходимо решать для успешного развития МСП в России. Низкая деятельность МСП в рыночной экономике возникла из-за недостаточной государственной поддержки развития МСП. МСП имеет положительную тенденцию в экономике, многие предприятия все же имеют некоторые сложности. Причина, по которой МСП на сегодняшний день находятся не в перспективном положении, кроется в том, что проблем с развитием в данном секторе намного больше, нежели преимуществ.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32010/1/ebs_2023_74_81.pdf
Цифровые технологии в профессиональной сфере|Норец Н. К.|Рассматриваются современные цифровые технологии, применяемые в различных профессиональных сферах (экономика, строительство, медицина, юриспруденция, образование). Современные цифровые технологии, внедряемые в профессиональную деятельность, имеют разнообразные характеристики в зависимости от сферы деятельности, в которых они применяются. Автором дана попытка провести оценку современного состояния цифровизации некоторых профессиональных сфер. Выделены основные тенденции внедрения современных цифровых технологий в различных сферах профессиональной деятельности.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32041/1/ebs_2023_306_310.pdf
Оценка полноты информации о потерях в пояснениях к бухгалтерской финансовой отчетности для ее анализа в целях усиления экономической безопасности бизнеса|Токмакова Е. Г.|Достоверная информация о деятельности хозяйствующего субъекта является основой управления бизнесом в целях обеспечения его экономической безопасности, так как посредством ее анализа принимаются соответствующие управленческие решения. Основным источником такой информации является бухгалтерская финансовая отчетность и пояснения к ней. В пояснениях к бухгалтерской отечности содержатся данные по прочих расходах организации, в частности о потерях. В статье на основе изучения данных, представленных в пояснениях к бухгалтерской финансовой отчетности трех крупнейших российских ритейлеров: ООО «Лента», ООО «Окей» и ПАО «Магнит» рассмотрена информация о потерях в составе прочих расходов с целью оценки ее полноты и детализации, необходимой для анализа. Констатировано, что данные о потерях в пояснениях к отечности указанных торговых компаний представлены с разной степенью детализации. Рекомендовано выделение потерь в составе прочих расходов в пояснениях к отчетности. Это даст возможность анализировать потери с целью усиления экономической безопасности бизнеса посредством их устранения.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32065/1/ebs_2023_452_456.pdf
Стабилизирующая роль коммерческой банковской системы в финансовой системе|Минин Д. Л.; Чжан Жуйчжоу|В статье представлены материалы исследования влияния состояния коммерческой банковской системы на мировую финансовую систему и обеспечение экономической безопасности. Исследованы основные факторы обеспечения финансовой стабильности и ключевые меры, принимаемые регуляторами для обеспечения стабильного функционирования элементов финансовых систем. Исследовано положение банков США, выделены основные факторы способствующие снижению устойчивости и дестабилизации банковского сектора. На основе проведенных исследований сформулированы рекомендации по обеспечению стабильного функционирования банковской системы, как элемента системы международных финансов.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32016/1/ebs_2023_142_149.pdf
Необходимость совершенствования Закона о бухгалтерском учете|Лупикова Е. В.|В статье проведен критический анализ действующего законодательства о бухгалтерском учете в РФ (ФЗ № 402), обоснована необходимость пересмотра направления развития бухгалтерского учета в соответствии с МСФО. Отмечены основные проблемы для защиты финансовых интересов субъектов предпринимательства: отсутствие должного понятийного аппарата, требований к лицам, ответственным за корпоративное управление, отсутствие четких критериев достоверности бухгалтерской отчетности и требований к стоимостным оценкам объектов бухгалтерского учета.|https://elib.utmn.ru/jspui/bitstream/ru-tsu/32061/1/ebs_2023_434_440.pdf
